time,/jointset/r_shoulder/r_shoulder_elev/value_angulos,/jointset/r_shoulder/r_shoulder_elev/speed_angulos,/jointset/r_elbow/r_elbow_flex/value_angulos,/jointset/r_elbow/r_elbow_flex/speed_angulos,/forceset/TRIlong/activation_angulos,/forceset/TRIlong/fiber_length_angulos,/forceset/TRIlat/activation_angulos,/forceset/TRIlat/fiber_length_angulos,/forceset/TRImed/activation_angulos,/forceset/TRImed/fiber_length_angulos,/forceset/BIClong/activation_angulos,/forceset/BIClong/fiber_length_angulos,/forceset/BICshort/activation_angulos,/forceset/BICshort/fiber_length_angulos,/forceset/BRA/activation_angulos,/forceset/BRA/fiber_length_angulos,base_X_posiciones,base_Y_posiciones,base_Z_posiciones,base_Ox_posiciones,base_Oy_posiciones,base_Oz_posiciones,r_humerus_X_posiciones,r_humerus_Y_posiciones,r_humerus_Z_posiciones,r_humerus_Ox_posiciones,r_humerus_Oy_posiciones,r_humerus_Oz_posiciones,r_ulna_radius_hand_X_posiciones,r_ulna_radius_hand_Y_posiciones,r_ulna_radius_hand_Z_posiciones,r_ulna_radius_hand_Ox_posiciones,r_ulna_radius_hand_Oy_posiciones,r_ulna_radius_hand_Oz_posiciones,center_of_mass_X_posiciones,center_of_mass_Y_posiciones,center_of_mass_Z_posiciones,base_X_velocidades,base_Y_velocidades,base_Z_velocidades,base_Ox_velocidades,base_Oy_velocidades,base_Oz_velocidades,r_humerus_X_velocidades,r_humerus_Y_velocidades,r_humerus_Z_velocidades,r_humerus_Ox_velocidades,r_humerus_Oy_velocidades,r_humerus_Oz_velocidades,r_ulna_radius_hand_X_velocidades,r_ulna_radius_hand_Y_velocidades,r_ulna_radius_hand_Z_velocidades,r_ulna_radius_hand_Ox_velocidades,r_ulna_radius_hand_Oy_velocidades,r_ulna_radius_hand_Oz_velocidades,center_of_mass_X_velocidades,center_of_mass_Y_velocidades,center_of_mass_Z_velocidades,base_X_aceleraciones,base_Y_aceleraciones,base_Z_aceleraciones,base_Ox_aceleraciones,base_Oy_aceleraciones,base_Oz_aceleraciones,r_humerus_X_aceleraciones,r_humerus_Y_aceleraciones,r_humerus_Z_aceleraciones,r_humerus_Ox_aceleraciones,r_humerus_Oy_aceleraciones,r_humerus_Oz_aceleraciones,r_ulna_radius_hand_X_aceleraciones,r_ulna_radius_hand_Y_aceleraciones,r_ulna_radius_hand_Z_aceleraciones,r_ulna_radius_hand_Ox_aceleraciones,r_ulna_radius_hand_Oy_aceleraciones,r_ulna_radius_hand_Oz_aceleraciones,center_of_mass_X_aceleraciones,center_of_mass_Y_aceleraciones,center_of_mass_Z_aceleraciones,TRIlong_activaciones,TRIlat_activaciones,TRImed_activaciones,BIClong_activaciones,BICshort_activaciones,BRA_activaciones,ID_movimiento
0.00034366,-0.00141778,-5.10717109,70.00066588,3.62569374,0.04975368,0.16263913,0.04975368,0.0998876,0.04975368,0.0998876,0.04975368,0.11342828,0.04975368,0.11226717,0.04975368,0.09962965,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754946,0.612504,0.16999974,8.35e-05,-3.26e-06,-0.00141531,0.15854298,0.44036824,0.14491286,1.28567535,3.83225196,69.85432263,0.06194164,0.53479901,0.1586751,0.0,0.0,0.0,0.0,0.0,0.0,-0.01606151,4e-07,-0.00094764,0.30081395,-0.01174695,-5.09848954,-0.02747276,-0.00476001,-0.00240355,0.47993588,0.12095086,-1.47946139,-0.02121274,-0.00214853,-0.00160486,0.0,0.0,0.0,0.0,0.0,0.0,-304.90530402,0.00899216,-17.98961684,5710.5306362,-222.99935487,-96787.66924963,-654.77865305,-458.47158783,-25.53549389,2992.92903277,-2236.30667395,-151695.05129242,-462.84404324,-206.95688552,-21.39595319,0.13006998,0.01004576,0.0100468,0.0875282,0.11139327,0.13815408,movimiento_1
0.00044305,-0.00193439,-5.28323614,70.00104385,3.95845383,0.0496827,0.16268472,0.0496827,0.09985511,0.0496827,0.09985511,0.0496827,0.11379909,0.0496827,0.11241444,0.0496827,0.09952476,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01755108,0.612504,0.16999964,0.00011393,-4.45e-06,-0.00193102,0.15854021,0.44036779,0.14491262,1.28573374,3.83226149,69.85418362,0.0619395,0.53479881,0.15867493,0.0,0.0,0.0,0.0,0.0,0.0,-0.01661427,5.6e-07,-0.00098025,0.31116653,-0.01215122,-5.2739553,-0.02819465,-0.00430583,-0.00251998,0.50672127,0.13271564,-1.32293889,-0.02184185,-0.00194341,-0.00167531,0.0,0.0,0.0,0.0,0.0,0.0,-304.90454283,0.01184652,-17.98957851,5710.51638903,-222.99879851,-96787.42777451,-654.77855069,-458.46656739,-25.53553857,2992.88753539,-2236.26568197,-151695.04720572,-462.84357945,-206.95305335,-21.39595234,0.09521081,0.01011177,0.01013208,0.07643957,0.09168099,0.11214186,movimiento_1
0.00058575,-0.00270386,-5.49549046,70.00163316,4.27935723,0.04958099,0.16270737,0.04958099,0.09980846,0.04958099,0.09980846,0.04958099,0.11409931,0.04958099,0.11251665,0.04958099,0.09937581,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.0175535,0.612504,0.1699995,0.00015925,-6.22e-06,-0.00269916,0.15853612,0.4403672,0.14491225,1.28582025,3.83227725,69.85400287,0.06193633,0.53479854,0.15867469,0.0,0.0,0.0,0.0,0.0,0.0,-0.01728278,8.2e-07,-0.0010197,0.3236868,-0.01264015,-5.48616106,-0.02915477,-0.00399703,-0.00264765,0.53511723,0.14397974,-1.21442958,-0.02264199,-0.00180388,-0.00175458,0.0,0.0,0.0,0.0,0.0,0.0,-304.90341896,0.01607436,-17.98952194,5710.49535443,-222.9979771,-96787.07125958,-654.77840631,-458.4596946,-25.53558094,2992.8172098,-2236.20884475,-151695.20857093,-462.84289774,-206.94763154,-21.39594043,0.12433748,0.01005479,0.01005653,0.05932966,0.08624286,0.11001626,movimiento_1
0.00090225,-0.00450872,-5.90015734,70.0030655,4.73610473,0.04935623,0.16273473,0.04935623,0.09970505,0.04935623,0.09970505,0.04935623,0.11437938,0.04935623,0.11259281,0.04935623,0.09905224,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01755918,0.612504,0.16999916,0.00026555,-1.038e-05,-0.00450088,0.15852657,0.44036597,0.14491137,1.28602231,3.83231715,69.85362896,0.0619289,0.53479798,0.15867411,0.0,0.0,0.0,0.0,0.0,0.0,-0.01855445,1.46e-06,-0.00109473,0.34750379,-0.01357021,-5.88983479,-0.03114797,-0.00387012,-0.00286537,0.58147792,0.15972931,-1.16273423,-0.02423938,-0.00174624,-0.00189402,0.0,0.0,0.0,0.0,0.0,0.0,-304.90080521,0.0259489,-17.98939048,5710.44643962,-222.99606695,-96786.24220345,-654.77807919,-458.44472546,-25.53563417,2992.63623904,-2236.08377101,-151695.90604882,-462.84131622,-206.93545721,-21.39589234,0.10061913,0.01006329,0.01006521,0.0546225,0.07524901,0.09498982,movimiento_1
0.00121875,-0.00643528,-6.27054181,70.00461903,5.06936697,0.04913263,0.16275274,0.04913263,0.09960171,0.04913263,0.09960171,0.04913263,0.11447391,0.04913263,0.11263092,0.04913263,0.09873762,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01756524,0.612504,0.16999881,0.00037902,-1.482e-05,-0.00642409,0.15851641,0.44036472,0.14491044,1.28623756,3.83236118,69.85325442,0.06192099,0.53479742,0.15867349,0.0,0.0,0.0,0.0,0.0,0.0,-0.01971975,2.22e-06,-0.00116348,0.36932866,-0.01442249,-6.25974402,-0.03306538,-0.00400472,-0.00305115,0.61978794,0.17106448,-1.19970285,-0.02574419,-0.00180658,-0.00201561,0.0,0.0,0.0,0.0,0.0,0.0,-304.89802693,0.03646657,-17.98925079,5710.39445227,-222.99403682,-96785.36107086,-654.777734,-458.42931461,-25.5356689,2992.43523924,-2235.95418919,-151696.80659637,-462.83963627,-206.92273068,-21.39583139,0.11472984,0.01006057,0.01006244,0.04925367,0.07486402,0.09640159,movimiento_1
0.00168561,-0.00948499,-6.78994164,70.00708371,5.47643418,0.04880488,0.16277226,0.04880488,0.09944937,0.04880488,0.09944937,0.04880488,0.11453857,0.04880488,0.11267072,0.04880488,0.09828886,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01757483,0.612504,0.16999824,0.00055865,-2.186e-05,-0.0094685,0.15850033,0.44036277,0.14490895,1.28657821,3.8324312,69.852667,0.06190847,0.53479654,0.15867251,0.0,0.0,0.0,0.0,0.0,0.0,-0.02135273,3.54e-06,-0.00125983,0.3999124,-0.0156168,-6.77810721,-0.03581756,-0.00437318,-0.00330164,0.67047889,0.18472241,-1.31203996,-0.0278824,-0.00197219,-0.00218154,0.0,0.0,0.0,0.0,0.0,0.0,-304.8936305,0.05309588,-17.98902971,5710.31219988,-222.99082481,-96783.96697674,-654.77718606,-458.40505326,-25.53572312,2992.11525768,-2235.74878472,-151698.26187115,-462.83697711,-206.90265613,-21.39573458,0.1015757,0.01006542,0.01006733,0.04939627,0.07112815,0.09064739,movimiento_1
0.00237383,-0.01441092,-7.51880756,70.01102836,5.96883116,0.04832621,0.16279328,0.04832621,0.09922505,0.04832621,0.09922505,0.04832621,0.11460107,0.04832621,0.11271415,0.04832621,0.09765814,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01759032,0.61250401,0.16999733,0.00084877,-3.325e-05,-0.01438586,0.15847431,0.44035952,0.14490656,1.28712908,3.83254211,69.85168187,0.06188823,0.53479508,0.15867093,0.0,0.0,0.0,0.0,0.0,0.0,-0.02364521,5.96e-06,-0.0013951,0.44284792,-0.01729345,-7.50582054,-0.03976572,-0.00512273,-0.00364055,0.73777076,0.20101177,-1.54805253,-0.03092228,-0.00230922,-0.00240873,0.0,0.0,0.0,0.0,0.0,0.0,-304.88650524,0.07992594,-17.98867114,5710.17892916,-222.98562052,-96781.70817403,-654.77628857,-458.36505925,-25.53586195,2991.60948287,-2235.4060609,-151700.3615217,-462.83266318,-206.86988365,-21.39560054,0.10718711,0.01006349,0.01006546,0.04639413,0.07015033,0.09033129,movimiento_1
0.00351965,-0.02368924,-8.66394611,70.01824494,6.59207165,0.04754097,0.16281787,0.04754097,0.09885219,0.04754097,0.09885219,0.04754097,0.11467561,0.04754097,0.11276785,0.04754097,0.09668051,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.0176195,0.61250402,0.1699956,0.00139524,-5.477e-05,-0.02364805,0.15842508,0.44035276,0.14490209,1.28817042,3.8327383,69.84961307,0.06185,0.53479203,0.15866797,0.0,0.0,0.0,0.0,0.0,0.0,-0.02724608,1.128e-05,-0.00160756,0.51028835,-0.01992704,-8.648867,-0.04612967,-0.00674582,-0.00414837,0.83602825,0.22104689,-2.0692955,-0.03577045,-0.00303899,-0.00275452,0.0,0.0,0.0,0.0,0.0,0.0,-304.87294954,0.13039736,-17.98798763,5709.92549895,-222.97572393,-96777.4127905,-654.77454217,-458.28493015,-25.53639348,2990.72227445,-2234.70472699,-151702.87857191,-462.82443839,-206.80602425,-21.39546552,0.09771827,0.01006853,0.01007042,0.04550771,0.06665233,0.08532783,movimiento_1
0.00522429,-0.03982959,-10.25323995,70.0300408,7.19053677,0.04639917,0.1628422,0.04639917,0.09829888,0.04639917,0.09829888,0.04639917,0.11475823,0.04639917,0.11282709,0.04639917,0.0953682,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01767025,0.61250404,0.16999261,0.00234585,-9.242e-05,-0.03976034,0.15833862,0.44033876,0.14489444,1.28999519,3.83303449,69.84525683,0.06178312,0.53478573,0.15866287,0.0,0.0,0.0,0.0,0.0,0.0,-0.03224477,2.245e-05,-0.00190251,0.6039081,-0.02358294,-10.23562632,-0.0552504,-0.0097822,-0.00481017,0.95932601,0.23907576,-3.05798708,-0.0426299,-0.00440353,-0.00321508,0.0,0.0,0.0,0.0,0.0,0.0,-304.84888695,0.21806646,-17.98676991,5709.47599102,-222.9581704,-96769.79408963,-654.77131684,-458.12844222,-25.53824663,2989.41164099,-2233.29459014,-151702.18357127,-462.80978209,-206.68728916,-21.39563405,0.09800543,0.01006923,0.01007117,0.04291937,0.06449447,0.08306553,movimiento_1
0.00612923,-0.04947223,-11.0532237,70.03664042,7.38207586,0.04580555,0.1628516,0.04580555,0.09800582,0.04580555,0.09800582,0.04580555,0.11479486,0.04580555,0.11285284,0.04580555,0.09473027,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01770058,0.61250407,0.16999082,0.00291377,-0.00011504,-0.04938621,0.15828649,0.44032908,0.14488995,1.29109319,3.83318481,69.84220713,0.06174295,0.53478137,0.15865986,0.0,0.0,0.0,0.0,0.0,0.0,-0.03475683,3.006e-05,-0.00205074,0.65095641,-0.0254202,-11.03304707,-0.05995655,-0.01164212,-0.00512435,1.01568968,0.24395706,-3.66813849,-0.04613241,-0.00523896,-0.00343822,0.0,0.0,0.0,0.0,0.0,0.0,-304.83422254,0.27038342,-17.98602524,5709.20225799,-222.94748097,-96765.15459387,-654.76927762,-458.02484446,-25.53989518,2988.76607443,-2232.34152923,-151698.77826625,-462.8008169,-206.61182319,-21.39596972,0.09506931,0.01007003,0.01007213,0.04189545,0.06273157,0.08078814,movimiento_1
